6_change_employees_average_salary_last_year,frequency,percentage,cumulative_perc
--,86,0.5029239766081871,0.5029239766081872
No cambió,50,0.29239766081871343,0.7953216374269008
Aumentó 15%,14,0.08187134502923976,0.8771929824561405
Disminuyó 15%,5,0.029239766081871343,0.9064327485380119
Aumentó 25%,4,0.023391812865497075,0.929824561403509
Aumentó 50% o más,4,0.023391812865497075,0.9532163742690061
Disminuyó 25%,3,0.017543859649122806,0.9707602339181289
Dependiente ,1,0.005847953216374269,0.9766081871345031
Disminuyó 50% o más,1,0.005847953216374269,0.9824561403508774
0,1,0.005847953216374269,0.9883040935672516
No hay empleándosela ,1,0.005847953216374269,0.9941520467836258
40,1,0.005847953216374269,1.0
