232_type_of_store,frequency,percentage,cumulative_perc
Grocery store (aka. nanostore),52,0.30409356725146197,0.30409356725146197
Micro-restaurant (aka. fondita),31,0.18128654970760233,0.4853801169590643
Dairy products,10,0.05847953216374269,0.5438596491228069
Cafeteria,6,0.03508771929824561,0.5789473684210525
Butcher shop,6,0.03508771929824561,0.6140350877192982
Produce (fruits & vegetables),4,0.023391812865497075,0.6374269005847952
Handmade products ,2,0.011695906432748537,0.6491228070175438
Papelería ,2,0.011695906432748537,0.6608187134502923
objetos ,2,0.011695906432748537,0.6725146198830408
Ferretería ,2,0.011695906432748537,0.6842105263157894
Lavanderia,1,0.005847953216374269,0.6900584795321636
Estética ,1,0.005847953216374269,0.6959064327485378
Bread ,1,0.005847953216374269,0.701754385964912
Tienda de ropa,1,0.005847953216374269,0.7076023391812862
Tailor,1,0.005847953216374269,0.7134502923976604
Tienda de Ropa,1,0.005847953216374269,0.7192982456140347
Tlapalería ,1,0.005847953216374269,0.7251461988304089
Lavandería ,1,0.005847953216374269,0.7309941520467831
limpieza,1,0.005847953216374269,0.7368421052631573
Tortillería ,1,0.005847953216374269,0.7426900584795315
Panaderia,1,0.005847953216374269,0.7485380116959057
Peluqueria,1,0.005847953216374269,0.7543859649122799
Papelería,1,0.005847953216374269,0.7602339181286542
papeleria,1,0.005847953216374269,0.7660818713450284
Toolshop,1,0.005847953216374269,0.7719298245614026
Floreria,1,0.005847953216374269,0.7777777777777768
Technology store,1,0.005847953216374269,0.783625730994151
Bakery store,1,0.005847953216374269,0.7894736842105252
Laundry Store,1,0.005847953216374269,0.7953216374268994
barber shop,1,0.005847953216374269,0.8011695906432736
ferretería ,1,0.005847953216374269,0.8070175438596479
lavandería ,1,0.005847953216374269,0.8128654970760221
tecnología ,1,0.005847953216374269,0.8187134502923963
Tailor (sastrería),1,0.005847953216374269,0.8245614035087705
Productos tradicionales ,1,0.005847953216374269,0.8304093567251447
compostura de ropa,1,0.005847953216374269,0.8362573099415189
ropa deportiva,1,0.005847953216374269,0.8421052631578931
Venta de productos de limpieza,1,0.005847953216374269,0.8479532163742673
cosmetiquera ,1,0.005847953216374269,0.8538011695906416
Technology Store,1,0.005847953216374269,0.8596491228070158
Retailer store,1,0.005847953216374269,0.86549707602339
internet ,1,0.005847953216374269,0.8713450292397642
Dulceria ,1,0.005847953216374269,0.8771929824561384
Pet store,1,0.005847953216374269,0.8830409356725126
Cosmetiquera ,1,0.005847953216374269,0.8888888888888868
Planchaduria,1,0.005847953216374269,0.894736842105261
Ginecología,1,0.005847953216374269,0.9005847953216353
Salón de eventos,1,0.005847953216374269,0.9064327485380095
Panadería ,1,0.005847953216374269,0.9122807017543837
hules,1,0.005847953216374269,0.9181286549707579
muebles,1,0.005847953216374269,0.9239766081871321
floristería ,1,0.005847953216374269,0.9298245614035063
Clothing,1,0.005847953216374269,0.9356725146198805
Rock store,1,0.005847953216374269,0.9415204678362548
ropa,1,0.005847953216374269,0.947368421052629
Handmade & typical candy store ,1,0.005847953216374269,0.9532163742690032
Sports,1,0.005847953216374269,0.9590643274853774
Copias y servicio computadoras  ,1,0.005847953216374269,0.9649122807017516
Objetos tradicionales,1,0.005847953216374269,0.9707602339181258
joyeria,1,0.005847953216374269,0.9766081871345
dulceria,1,0.005847953216374269,0.9824561403508743
Ropa,1,0.005847953216374269,0.9883040935672485
Ferretería,1,0.005847953216374269,0.9941520467836227
productos tradicionales ,1,0.005847953216374269,0.9999999999999969
