193_sales_planning_tools,frequency,percentage,cumulative_perc
--,89,0.52046783625731,0.52046783625731
Ninguna,33,0.19298245614035087,0.7134502923976609
Cuaderno,21,0.12280701754385964,0.8362573099415205
Software especializado,6,0.03508771929824561,0.8713450292397661
Excel,6,0.03508771929824561,0.9064327485380117
"Cuaderno,Excel",3,0.017543859649122806,0.9239766081871346
"Cuaderno,Ninguna",2,0.011695906432748537,0.9356725146198831
Other,1,0.005847953216374269,0.9415204678362574
Mental,1,0.005847953216374269,0.9473684210526316
Por temporada de pan,1,0.005847953216374269,0.9532163742690059
Sobre demanda ,1,0.005847953216374269,0.9590643274853801
"Aplicación móvil,Software especializado",1,0.005847953216374269,0.9649122807017543
"Excel,Software especializado",1,0.005847953216374269,0.9707602339181285
Catálogo ,1,0.005847953216374269,0.9766081871345027
Redes sociales,1,0.005847953216374269,0.9824561403508769
Aplicación móvil,1,0.005847953216374269,0.9883040935672511
En físico ,1,0.005847953216374269,0.9941520467836253
"Aplicación móvil,Excel",1,0.005847953216374269,0.9999999999999996
