18_sales_records,frequency,percentage,cumulative_perc
--,61,0.3567251461988304,0.3567251461988304
En papel,47,0.27485380116959063,0.631578947368421
Software especializado + computadora,22,0.1286549707602339,0.7602339181286549
No lo hago,14,0.08187134502923976,0.8421052631578947
En Excel,10,0.05847953216374269,0.9005847953216374
Caja registradora (análoga),4,0.023391812865497075,0.9239766081871345
"En Excel,En papel",4,0.023391812865497075,0.9473684210526315
Aplicación móvil (i.e. App) + smartphone,1,0.005847953216374269,0.9532163742690059
"Aplicación móvil (i.e. App) + smartphone,Caja registradora (análoga)",1,0.005847953216374269,0.9590643274853801
Contadora,1,0.005847953216374269,0.9649122807017543
Notas ,1,0.005847953216374269,0.9707602339181285
"Caja registradora (análoga),En Excel,En papel",1,0.005847953216374269,0.9766081871345027
"Aplicación móvil (i.e. App) + smartphone,Software especializado + computadora",1,0.005847953216374269,0.9824561403508769
"Aplicación móvil (i.e. App) + smartphone,Caja registradora (análoga),Software especializado + computadora",1,0.005847953216374269,0.9883040935672511
"En Excel,Software especializado + computadora",1,0.005847953216374269,0.9941520467836253
"Aplicación móvil (i.e. App) + smartphone,En Excel,En papel",1,0.005847953216374269,0.9999999999999996
