210_sales_channels,frequency,percentage,cumulative_perc
--,89,0.52046783625731,0.5204678362573102
"Redes sociales (e.g. Facebook, Instagram)",11,0.06432748538011696,0.5847953216374271
WhatsApp,10,0.05847953216374269,0.6432748538011699
"Redes sociales (e.g. Facebook, Instagram),WhatsApp",9,0.05263157894736842,0.6959064327485384
Llamada a Teléfono fijo,6,0.03508771929824561,0.730994152046784
"Llamada a Teléfono celular,WhatsApp",6,0.03508771929824561,0.7660818713450296
Llamada a Teléfono celular,5,0.029239766081871343,0.7953216374269009
"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp",5,0.029239766081871343,0.8245614035087722
"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",3,0.017543859649122806,0.842105263157895
Ninguno,3,0.017543859649122806,0.8596491228070179
Página web propia,3,0.017543859649122806,0.8771929824561409
"Llamada a Teléfono celular,Llamada a Teléfono fijo,WhatsApp",2,0.011695906432748537,0.8888888888888894
"Aplicación móvil (e.g. Rappi, Uber Eats)",2,0.011695906432748537,0.9005847953216379
"Llamada a Teléfono fijo,WhatsApp",1,0.005847953216374269,0.9064327485380121
Solo físico ,1,0.005847953216374269,0.9122807017543864
"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram)",1,0.005847953216374269,0.9181286549707606
"Página web propia,WhatsApp",1,0.005847953216374269,0.9239766081871348
"Llamada a Teléfono celular,Llamada a Teléfono fijo,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",1,0.005847953216374269,0.929824561403509
"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",1,0.005847953216374269,0.9356725146198832
"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram)",1,0.005847953216374269,0.9415204678362574
"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",1,0.005847953216374269,0.9473684210526316
conocidos paquetes cerrados,1,0.005847953216374269,0.9532163742690059
"Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",1,0.005847953216374269,0.9590643274853801
Volantes,1,0.005847953216374269,0.9649122807017543
"Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",1,0.005847953216374269,0.9707602339181285
"Página web propia,Redes sociales (e.g. Facebook, Instagram)",1,0.005847953216374269,0.9766081871345027
no,1,0.005847953216374269,0.9824561403508769
"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp",1,0.005847953216374269,0.9883040935672511
Físico ,1,0.005847953216374269,0.9941520467836253
"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram)",1,0.005847953216374269,0.9999999999999996
