214_customer_relationship_tools,frequency,percentage,cumulative_perc
--,76,0.4444444444444444,0.44444444444444464
Redes sociales,27,0.15789473684210525,0.60233918128655
Aplicación móvil,21,0.12280701754385964,0.7251461988304096
Ninguna,20,0.11695906432748537,0.842105263157895
"Aplicación móvil,Redes sociales",13,0.07602339181286549,0.9181286549707606
Cuaderno,6,0.03508771929824561,0.9532163742690062
Teléfono,1,0.005847953216374269,0.9590643274853805
"Cuaderno,Redes sociales",1,0.005847953216374269,0.9649122807017547
"Aplicación móvil,De frente",1,0.005847953216374269,0.9707602339181289
Físico ,1,0.005847953216374269,0.9766081871345031
"Aplicación móvil,Ninguna",1,0.005847953216374269,0.9824561403508774
publicidades ,1,0.005847953216374269,0.9883040935672516
Publicidad,1,0.005847953216374269,0.9941520467836258
Teléfono celular ,1,0.005847953216374269,1.0
